Depth;A0;B0;Date0;A1;B1;Date1;A2;B2;Date2;A3;B3;Date3;A4;B4;Date4;A5;B5;Date5;A6;B6;Date6
14,0;0,0;0,0;03/02/2024;8,34;1,84;17/02/2024;9,83;0,17;02/03/2024;9,07;4,49;17/03/2024;8,7;5,01;29/03/2024;8,32;3,74;14/04/2024;9,06;-2,24;05/05/2024
14,5;0,0;0,0;03/02/2024;8,16;1,78;17/02/2024;9,57;0,12;02/03/2024;8,83;4,44;17/03/2024;8,47;5,02;29/03/2024;8,05;3,83;14/04/2024;8,93;-1,23;05/05/2024
15,0;0,0;0,0;03/02/2024;8,02;1,73;17/02/2024;9,36;0,22;02/03/2024;8,55;4,35;17/03/2024;8,17;4,86;29/03/2024;7,68;3,81;14/04/2024;8,95;0,01;05/05/2024
15,5;0,0;0,0;03/02/2024;7,89;1,77;17/02/2024;9,28;0,29;02/03/2024;8,37;4,24;17/03/2024;7,98;4,8;29/03/2024;7,47;3,84;14/04/2024;9,46;-0,22;05/05/2024
16,0;0,0;0,0;03/02/2024;7,77;1,63;17/02/2024;8,96;0,32;02/03/2024;8,06;4,1;17/03/2024;7,68;4,6;29/03/2024;7,2;3,74;14/04/2024;10,0;-0,58;05/05/2024
16,5;0,0;0,0;03/02/2024;7,61;1,53;17/02/2024;8,71;0,33;02/03/2024;7,78;3,99;17/03/2024;7,37;4,48;29/03/2024;6,93;3,69;14/04/2024;10,46;-0,48;05/05/2024
17,0;0,0;0,0;03/02/2024;7,46;1,43;17/02/2024;8,45;0,38;02/03/2024;7,57;3,92;17/03/2024;7,18;4,37;29/03/2024;6,77;3,72;14/04/2024;10,75;-0,16;05/05/2024
17,5;0,0;0,0;03/02/2024;7,28;1,35;17/02/2024;8,23;0,41;02/03/2024;7,41;3,83;17/03/2024;7,06;4,34;29/03/2024;6,66;3,78;14/04/2024;10,72;0,17;05/05/2024
18,0;0,0;0,0;03/02/2024;7,13;1,25;17/02/2024;8,13;0,5;02/03/2024;7,28;3,82;17/03/2024;6,99;4,29;29/03/2024;6,56;3,81;14/04/2024;10,26;0,48;05/05/2024
18,5;0,0;0,0;03/02/2024;6,99;1,15;17/02/2024;8,06;0,56;02/03/2024;7,24;3,69;17/03/2024;7,0;4,31;29/03/2024;6,55;3,93;14/04/2024;9,48;0,78;05/05/2024
19,0;0,0;0,0;03/02/2024;6,88;1,17;17/02/2024;8,09;0,65;02/03/2024;7,27;3,74;17/03/2024;7,07;4,36;29/03/2024;6,56;3,72;14/04/2024;8,37;0,9;05/05/2024
19,5;0,0;0,0;03/02/2024;6,78;1,11;17/02/2024;8,13;0,7;02/03/2024;7,32;3,65;17/03/2024;7,18;4,35;29/03/2024;6,58;3,65;14/04/2024;7,09;0,76;05/05/2024
20,0;0,0;0,0;03/02/2024;6,74;1,14;17/02/2024;8,21;0,64;02/03/2024;7,42;3,53;17/03/2024;7,32;4,21;29/03/2024;6,63;3,55;14/04/2024;5,81;0,26;05/05/2024
20,5;0,0;0,0;03/02/2024;6,68;1,13;17/02/2024;8,21;0,52;02/03/2024;7,45;3,38;17/03/2024;7,37;4,04;29/03/2024;6,59;3,39;14/04/2024;4,61;-0,61;05/05/2024
21,0;0,0;0,0;03/02/2024;6,33;0,19;17/02/2024;8,13;0,32;02/03/2024;7,43;3,07;17/03/2024;7,34;3,76;29/03/2024;6,52;3,23;14/04/2024;3,59;-1,85;05/05/2024
21,5;0,0;0,0;03/02/2024;6,99;0,86;17/02/2024;8,03;0,05;02/03/2024;7,51;2,73;17/03/2024;7,4;3,56;29/03/2024;6,58;2,97;14/04/2024;4,15;-1,14;05/05/2024
22,0;0,0;0,0;03/02/2024;6,58;0,9;17/02/2024;8,06;0,11;02/03/2024;7,55;2,69;17/03/2024;7,46;3,56;29/03/2024;6,66;3,01;14/04/2024;5,12;-0,2;05/05/2024
22,5;0,0;0,0;03/02/2024;6,53;0,92;17/02/2024;8,04;0,09;02/03/2024;7,5;2,59;17/03/2024;7,43;3,53;29/03/2024;6,66;2,92;14/04/2024;5,9;0,3;05/05/2024
23,0;0,0;0,0;03/02/2024;6,35;0,88;17/02/2024;7,95;0,04;02/03/2024;7,37;2,48;17/03/2024;7,38;3,43;29/03/2024;6,56;2,79;14/04/2024;6,32;0,47;05/05/2024
23,5;0,0;0,0;03/02/2024;6,23;0,86;17/02/2024;7,84;0,02;02/03/2024;7,23;2,44;17/03/2024;7,28;3,4;29/03/2024;6,44;2,76;14/04/2024;6,39;0,54;05/05/2024
24,0;0,0;0,0;03/02/2024;5,23;-0,4;17/02/2024;7,71;-0,03;02/03/2024;7,01;2,28;17/03/2024;7,11;3,22;29/03/2024;6,24;2,64;14/04/2024;6,08;0,4;05/05/2024
24,5;0,0;0,0;03/02/2024;5,58;0,84;17/02/2024;7,49;-0,31;02/03/2024;6,72;2,03;17/03/2024;6,87;2,9;29/03/2024;6,07;2,57;14/04/2024;6,2;0,28;05/05/2024
25,0;0,0;0,0;03/02/2024;6,09;0,61;17/02/2024;7,48;-0,42;02/03/2024;6,72;1,87;17/03/2024;6,9;2,7;29/03/2024;6,11;2,4;14/04/2024;6,52;0,0;05/05/2024
25,5;0,0;0,0;03/02/2024;6,04;0,48;17/02/2024;7,47;-0,51;02/03/2024;6,67;1,71;17/03/2024;6,87;2,58;29/03/2024;6,13;2,3;14/04/2024;6,77;-0,17;05/05/2024
26,0;0,0;0,0;03/02/2024;5,99;0,49;17/02/2024;7,47;-0,56;02/03/2024;6,64;1,6;17/03/2024;6,88;2,43;29/03/2024;6,18;2,24;14/04/2024;7,15;-0,29;05/05/2024
26,5;0,0;0,0;03/02/2024;5,96;0,44;17/02/2024;7,45;-0,63;02/03/2024;6,64;1,5;17/03/2024;6,86;2,25;29/03/2024;6,3;2,17;14/04/2024;7,77;-0,43;05/05/2024
27,0;0,0;0,0;03/02/2024;5,29;0,13;17/02/2024;7,49;-0,6;02/03/2024;6,67;1,42;17/03/2024;6,88;2,17;29/03/2024;6,48;2,14;14/04/2024;8,66;-0,6;05/05/2024
27,5;0,0;0,0;03/02/2024;5,72;0,28;17/02/2024;7,35;-0,58;02/03/2024;6,61;1,34;17/03/2024;6,84;2,06;29/03/2024;6,57;2,14;14/04/2024;8,77;-0,35;05/05/2024
28,0;0,0;0,0;03/02/2024;5,71;0,22;17/02/2024;7,34;-0,72;02/03/2024;6,63;1,24;17/03/2024;6,82;1,94;29/03/2024;6,67;2,09;14/04/2024;8,77;-0,23;05/05/2024
28,5;0,0;0,0;03/02/2024;5,62;0,22;17/02/2024;7,38;-0,81;02/03/2024;6,64;1,14;17/03/2024;6,8;1,76;29/03/2024;6,78;2,04;14/04/2024;8,91;-0,23;05/05/2024
29,0;0,0;0,0;03/02/2024;5,52;0,16;17/02/2024;7,37;-0,88;02/03/2024;6,62;1,03;17/03/2024;6,75;1,65;29/03/2024;6,85;2,0;14/04/2024;9,09;-0,3;05/05/2024
29,5;0,0;0,0;03/02/2024;5,44;0,12;17/02/2024;7,4;-0,99;02/03/2024;6,57;0,95;17/03/2024;6,65;1,54;29/03/2024;6,91;2,0;14/04/2024;9,2;-0,34;05/05/2024
30,0;0,0;0,0;03/02/2024;4,79;0,72;17/02/2024;7,38;-1,15;02/03/2024;6,47;0,82;17/03/2024;6,54;1,37;29/03/2024;6,86;1,95;14/04/2024;9,09;-0,42;05/05/2024
30,5;0,0;0,0;03/02/2024;4,77;0,26;17/02/2024;7,14;-1,28;02/03/2024;6,25;0,76;17/03/2024;6,32;1,31;29/03/2024;6,7;2,0;14/04/2024;8,86;-0,42;05/05/2024
31,0;0,0;0,0;03/02/2024;5,24;-0,15;17/02/2024;7,0;-1,45;02/03/2024;6,13;0,6;17/03/2024;6,21;1,13;29/03/2024;6,58;1,92;14/04/2024;8,49;-0,57;05/05/2024
31,5;0,0;0,0;03/02/2024;5,01;0,0;17/02/2024;6,85;-1,66;02/03/2024;5,97;0,41;17/03/2024;6,08;0,92;29/03/2024;6,4;1,82;14/04/2024;7,88;-0,66;05/05/2024
32,0;0,0;0,0;03/02/2024;4,8;0,02;17/02/2024;6,66;-1,8;02/03/2024;5,75;0,27;17/03/2024;5,89;0,73;29/03/2024;6,19;1,72;14/04/2024;7,15;-0,87;05/05/2024
32,5;0,0;0,0;03/02/2024;4,59;-0,02;17/02/2024;6,44;-1,97;02/03/2024;5,52;0,16;17/03/2024;5,66;0,57;29/03/2024;5,9;1,6;14/04/2024;6,37;-0,9;05/05/2024
33,0;0,0;0,0;03/02/2024;5,03;-0,28;17/02/2024;6,25;-2,12;02/03/2024;5,32;0,01;17/03/2024;5,48;0,39;29/03/2024;5,73;1,42;14/04/2024;5,76;-0,97;05/05/2024
33,5;0,0;0,0;03/02/2024;4,89;-0,3;17/02/2024;6,17;-2,21;02/03/2024;5,27;-0,13;17/03/2024;5,37;0,21;29/03/2024;5,51;1,21;14/04/2024;5,09;-1,14;05/05/2024
34,0;0,0;0,0;03/02/2024;4,12;-0,11;17/02/2024;6,06;-2,3;02/03/2024;5,12;-0,25;17/03/2024;5,16;0,08;29/03/2024;5,28;1,0;14/04/2024;4,56;-1,53;05/05/2024
34,5;0,0;0,0;03/02/2024;3,92;-0,05;17/02/2024;5,8;-2,33;02/03/2024;4,95;-0,35;17/03/2024;4,98;-0,03;29/03/2024;5,07;0,81;14/04/2024;4,28;-1,82;05/05/2024
35,0;0,0;0,0;03/02/2024;3,71;-0,07;17/02/2024;5,57;-2,34;02/03/2024;4,77;-0,41;17/03/2024;4,74;-0,1;29/03/2024;4,87;0,68;14/04/2024;4,22;-1,99;05/05/2024
35,5;0,0;0,0;03/02/2024;3,54;-0,04;17/02/2024;5,35;-2,31;02/03/2024;4,56;-0,46;17/03/2024;4,49;-0,22;29/03/2024;4,66;0,51;14/04/2024;4,29;-2,09;05/05/2024
36,0;0,0;0,0;03/02/2024;2,06;-0,1;17/02/2024;5,14;-2,21;02/03/2024;4,35;-0,46;17/03/2024;4,21;-0,27;29/03/2024;4,44;0,44;14/04/2024;4,4;-2,14;05/05/2024
36,5;0,0;0,0;03/02/2024;2,5;-0,26;17/02/2024;4,6;-2,18;02/03/2024;3,87;-0,47;17/03/2024;3,79;-0,33;29/03/2024;4,14;0,32;14/04/2024;4,27;-2,22;05/05/2024
37,0;0,0;0,0;03/02/2024;2,89;-0,01;17/02/2024;4,33;-2,09;02/03/2024;3,55;-0,55;17/03/2024;3,38;-0,45;29/03/2024;3,73;0,24;14/04/2024;3,86;-2,26;05/05/2024
37,5;0,0;0,0;03/02/2024;2,68;-0,09;17/02/2024;4,03;-2,03;02/03/2024;3,28;-0,52;17/03/2024;3,07;-0,47;29/03/2024;3,4;0,19;14/04/2024;3,45;-2,33;05/05/2024
38,0;0,0;0,0;03/02/2024;2,45;0,0;17/02/2024;3,75;-1,88;02/03/2024;3,0;-0,53;17/03/2024;2,74;-0,49;29/03/2024;3,07;0,12;14/04/2024;3,01;-2,4;05/05/2024
38,5;0,0;0,0;03/02/2024;2,21;-0,09;17/02/2024;3,5;-1,77;02/03/2024;2,71;-0,53;17/03/2024;2,38;-0,52;29/03/2024;2,71;0,04;14/04/2024;2,5;-2,5;05/05/2024
39,0;0,0;0,0;03/02/2024;2,36;0,23;17/02/2024;3,24;-1,64;02/03/2024;2,41;-0,55;17/03/2024;2,08;-0,51;29/03/2024;2,4;-0,04;14/04/2024;2,01;-2,59;05/05/2024
39,5;0,0;0,0;03/02/2024;1,95;0,2;17/02/2024;3,03;-1,47;02/03/2024;2,21;-0,41;17/03/2024;1,8;-0,47;29/03/2024;2,09;-0,05;14/04/2024;1,61;-2,49;05/05/2024
40,0;0,0;0,0;03/02/2024;1,48;0,01;17/02/2024;2,72;-1,24;02/03/2024;1,93;-0,31;17/03/2024;1,44;-0,43;29/03/2024;1,84;-0,08;14/04/2024;1,29;-2,33;05/05/2024
40,5;0,0;0,0;03/02/2024;1,26;-0,04;17/02/2024;2,45;-1,08;02/03/2024;1,66;-0,16;17/03/2024;1,25;-0,31;29/03/2024;1,57;-0,01;14/04/2024;1,07;-1,98;05/05/2024
41,0;0,0;0,0;03/02/2024;1,07;0,04;17/02/2024;2,22;-0,92;02/03/2024;1,45;-0,08;17/03/2024;1,11;-0,23;29/03/2024;1,38;0,02;14/04/2024;1,05;-1,67;05/05/2024
41,5;0,0;0,0;03/02/2024;0,76;0,0;17/02/2024;1,92;-0,7;02/03/2024;1,2;-0,07;17/03/2024;0,92;-0,24;29/03/2024;1,16;0,02;14/04/2024;1,07;-1,4;05/05/2024
42,0;0,0;0,0;03/02/2024;-0,37;0,16;17/02/2024;1,6;-0,41;02/03/2024;0,95;0,04;17/03/2024;0,69;-0,15;29/03/2024;0,94;0,18;14/04/2024;1,04;-1,06;05/05/2024
42,5;0,0;0,0;03/02/2024;-0,2;-0,42;17/02/2024;1,13;-0,27;02/03/2024;0,52;-0,02;17/03/2024;0,32;-0,19;29/03/2024;0,59;0,12;14/04/2024;0,83;-0,91;05/05/2024
43,0;0,0;0,0;03/02/2024;0,0;0,0;17/02/2024;0,85;-0,1;02/03/2024;0,27;-0,06;17/03/2024;0,16;-0,24;29/03/2024;0,33;0,05;14/04/2024;0,7;-0,95;05/05/2024
43,5;0,0;0,0;03/02/2024;0,0;0,0;17/02/2024;0,0;0,0;02/03/2024;0,0;0,0;17/03/2024;0,0;0,0;29/03/2024;0,0;0,0;14/04/2024;0,0;0,0;05/05/2024
